1|0|1
2|1|2
3|2|3
4|3|4
5|4|5
6|5|6
7|6|7
8|7|8
9|7|9
10|6|10
11|5|11
12|4|12
13|3|13
14|2|14
15|1|15
16|0|16
17|0|17
18|1|18
19|2|19
20|3|20
21|4|21
22|5|22
23|6|23
24|7|24
25|7|25
26|6|26
27|5|27
28|4|28
29|3|29
30|2|30
31|1|31
32|0|32
33|0|33
34|1|34
35|2|35
36|3|36
37|4|37
38|5|38
39|6|39
40|7|40
41|7|41
42|6|42
43|5|43
44|4|44
45|3|45
46|2|46
47|1|47
48|0|48
49|0|49
50|1|50
51|2|51
52|3|52
53|4|53
54|5|54
55|6|55
56|7|56
57|7|57
58|6|58
59|5|59
60|4|60
61|3|61
62|2|62
63|1|63
64|0|64
65|0|65
66|1|66
67|2|67
68|3|68
69|4|69
70|5|70
71|6|71
72|7|72
73|7|73
74|6|74
75|5|75
76|4|76
77|3|77
78|2|78
79|1|79
80|0|80
81|0|81
82|1|82
83|2|83
84|3|84
85|4|85
86|5|86
87|6|87
88|7|88
89|7|89
90|6|90
91|5|91
92|4|92
93|3|93
94|2|94
95|1|95
96|0|96
97|0|97
98|1|98
99|2|99
100|3|100
101|4|101
102|5|102
103|6|103
104|7|104
105|7|105
1|0|1
2|1|2
3|2|3
4|3|4
5|4|5
6|5|6
7|6|7
8|7|8
9|7|9
10|6|10
11|5|11
12|4|12
13|3|13
14|2|14
15|1|15
16|0|16
17|0|17
18|1|18
19|2|19
20|3|20
21|4|21
22|5|22
23|6|23
24|7|24
25|7|25
26|6|26
27|5|27
28|4|28
29|3|29
30|2|30
31|1|31
32|0|32
1|0|1
2|1|2
3|2|3
4|3|4
5|4|5
6|5|6
7|6|7
8|7|8
9|7|9
10|6|10
11|5|11
12|4|12
13|3|13
14|2|14
15|1|15
16|0|16
17|0|17
18|1|18
19|2|19
20|3|20
21|4|21
22|5|22
23|6|23
24|7|24
25|7|25
26|6|26
27|5|27
28|4|28
29|3|29
30|2|30
31|1|31
32|0|32
33|0|33
34|1|34
35|2|35
36|3|36
37|4|37
38|5|38
39|6|39
40|7|40
41|7|41
42|6|42
43|5|43
44|4|44
45|3|45
46|2|46
47|1|47
48|0|48
49|0|49
50|1|50
51|2|51
52|3|52
53|4|53
54|5|54
55|6|55
56|7|56
57|7|57
58|6|58
59|5|59
60|4|60
61|3|61
62|2|62
63|1|63
64|0|64
65|0|65
66|1|66
67|2|67
68|3|68
69|4|69
70|5|70
71|6|71
72|7|72
73|7|73
74|6|74
75|5|75
76|4|76
77|3|77
78|2|78
79|1|79
80|0|80
81|0|81
82|1|82
83|2|83
84|3|84
85|4|85
86|5|86
87|6|87
88|7|88
89|7|89
90|6|90
91|5|91
92|4|92
93|3|93
94|2|94
95|1|95
96|0|96
97|0|97
98|1|98
99|2|99
100|3|100
101|4|101
102|5|102
103|6|103
104|7|104
105|7|105
106|6|106
107|5|107
108|4|108
109|3|109
110|2|110
111|1|111
112|0|112
113|0|113
114|1|114
115|2|115
116|3|116
117|4|117
118|5|118
119|6|119
120|7|120
121|7|121
122|6|122
123|5|123
124|4|124
125|3|125
126|2|126
127|1|127
128|0|128
129|0|129
130|1|130
131|2|131
132|3|132
133|4|133
134|5|134
135|6|135
136|7|136
